TEAM,FG_PCT
ATL,0.4808181818181818
BKN,0.48384615384615376
BOS,0.47045454545454535
CHA,0.49420000000000003
CHI,0.4762727272727272
CLE,0.467
DAL,0.44416666666666665
DEN,0.46841666666666665
DET,0.4364166666666667
GSW,0.48184615384615387
HOU,0.4610000000000001
IND,0.46326666666666666
LAC,0.45899999999999996
LAL,0.4695833333333334
MEM,0.4748333333333333
MIA,0.4795454545454545
MIL,0.46375000000000005
MIN,0.4627272727272727
NOP,0.4615384615384616
NYK,0.4564166666666667
OKC,0.4318000000000001
ORL,0.44361538461538463
PHI,0.43579999999999997
PHX,0.47883333333333344
POR,0.4439375
SAC,0.4735333333333333
SAS,0.467
TOR,0.4388461538461538
UTA,0.47725
WAS,0.46509090909090917
