Playoffs,W,FG_PCT,FT_PCT,FG3_PCT,FG3A,EFG%
Made Playoffs,45.95,0.4662,0.78235,0.35895,2772.9,0.53795
Missed Playoffs,27.0,0.44909999999999994,0.7593999999999999,0.3412,2817.5,0.5181
